Date,Production_Tonnes,Target_Tonnes,Achievement_Percent,Yield_Percent,Downtime_Hours,Downtime_Primary_Reason,Energy_Consumption_MWh,Energy_Rate_kWh_per_Tonne,Energy_Cost_INR,Coal_Consumption_Tonnes,Coal_Rate_kg_per_Tonne,Steam_Consumption_Tonnes,Steam_Rate_per_Tonne,Water_Consumption_KL,Water_Rate_KL_per_Tonne,Defect_Percent,Defect_Tonnes,Manufacturing_Cost_per_Tonne_INR,Total_Manufacturing_Cost_INR,Selling_Price_per_Tonne_INR,Revenue_INR,Profit_per_Tonne_INR
2025-01-01,2030.51,2409.72,84.26,92.66,3.71,Minor Stoppage,1415.09,696.9,10170387.01,988.08,486.6,2765.57,1.362,7836.62,3.859,1.38,27.96,30782.64,62504525.53,47537.71,96525911.33,16755.07
2025-01-02,2291.61,2386.38,96.03,92.59,0.15,Normal,1572.97,686.4,11252359.52,1149.85,501.8,3327.11,1.452,10227.64,4.463,1.38,31.61,31093.08,71253364.82,47410.78,108647251.31,16317.7
2025-01-03,2243.63,2412.34,93.01,93.54,0.21,Normal,1534.89,684.1,10976182.3,1098.44,489.6,3282.77,1.463,9567.48,4.264,1.43,32.12,31198.94,69998944.02,47199.22,105897699.73,16000.28
2025-01-04,2221.5,2404.86,92.38,93.62,0.7,Normal,1561.26,702.8,11126948.53,1087.28,489.4,3247.1,1.462,8782.9,3.954,1.49,33.13,30690.23,68178460.39,47055.67,104534355.03,16365.44
2025-01-05,2021.97,2412.19,83.82,91.96,3.31,Minor Stoppage,1465.18,724.6,10442100.62,1057.82,523.2,3047.03,1.507,7936.72,3.925,1.87,37.89,31135.34,62954615.93,46817.17,94662740.39,15681.83
2025-01-06,2132.11,2396.7,88.96,92.67,1.5,Normal,1474.4,691.5,10485834.39,1075.09,504.2,3078.41,1.444,8353.78,3.918,1.79,38.13,30953.05,65995209.35,46641.54,99444765.67,15688.5
2025-01-07,2123.53,2404.44,88.32,92.77,1.37,Normal,1407.63,662.9,10005584.27,1066.59,502.3,3229.04,1.521,8454.59,3.981,1.38,29.27,30388.18,64530134.45,46638.36,99037855.65,16250.19
2025-01-08,1675.78,2400.9,69.8,91.38,6.57,Minor Stoppage,1104.77,659.3,7891844.82,852.19,508.5,2701.73,1.612,6115.82,3.65,1.96,32.78,31365.68,52562011.75,46901.22,78596167.47,15535.54
2025-01-09,2175.62,2385.14,91.22,93.34,0.56,Normal,1506.53,692.5,10721728.4,1137.63,522.9,3405.03,1.565,8033.02,3.692,1.0,21.76,31089.54,67639154.79,47058.07,102380696.21,15968.54
2025-01-10,2182.55,2375.89,91.86,93.52,1.28,Normal,1411.89,646.9,10071661.74,1092.03,500.3,3155.09,1.446,8856.92,4.058,1.0,21.83,31133.66,67950735.02,46972.35,102519445.3,15838.69
2025-01-11,2136.65,2427.99,88.0,93.39,1.66,Minor Stoppage,1410.02,659.9,10100520.15,1073.52,502.4,3163.03,1.48,8143.99,3.812,1.61,34.42,30847.83,65911057.69,46874.46,100154371.34,16026.63
2025-01-12,2173.04,2398.84,90.59,93.86,1.48,Normal,1622.36,746.6,11653638.9,1042.13,479.6,3220.72,1.482,9080.07,4.179,1.02,22.19,31265.08,67940422.84,46865.72,101841305.3,15600.64
2025-01-13,2302.17,2387.3,96.43,92.71,0.12,Normal,1594.93,692.8,11415897.34,1145.94,497.8,3519.14,1.529,9531.42,4.14,1.55,35.77,31508.63,72538080.26,46992.17,108183769.8,15483.55
