Date,Total_Downtime_Hours,Mechanical Failure,Electrical Fault,Power Grid Outage,Raw Material Shortage,Planned Maintenance,Quality Hold,Labour/Shift Change
2025-01-01,3.71,1.055,0.47,0.644,1.057,0.105,0.063,0.316
2025-01-02,0.15,0.034,0.019,0.001,0.018,0.015,0.016,0.048
2025-01-03,0.21,0.013,0.132,0.021,0.008,0.0,0.021,0.015
2025-01-04,0.7,0.297,0.085,0.051,0.096,0.0,0.073,0.098
2025-01-05,3.31,1.279,0.859,0.498,0.202,0.0,0.273,0.198
2025-01-06,1.5,0.254,0.261,0.21,0.548,0.004,0.065,0.158
2025-01-07,1.37,0.426,0.422,0.056,0.146,0.0,0.263,0.058
2025-01-08,6.57,3.719,0.293,0.534,0.593,0.078,0.737,0.616
2025-01-09,0.56,0.048,0.116,0.208,0.003,0.02,0.048,0.118
2025-01-10,1.28,0.373,0.223,0.059,0.223,0.0,0.173,0.229
2025-01-11,1.66,0.214,0.335,0.017,0.226,0.002,0.826,0.04
2025-01-12,1.48,0.588,0.172,0.32,0.07,0.032,0.013,0.285
2025-01-13,0.12,0.033,0.063,0.003,0.016,0.002,0.003,0.001
2025-01-14,0.34,0.036,0.038,0.018,0.005,0.0,0.089,0.155
2025-01-15,0.05,0.008,0.007,0.013,0.006,0.0,0.001,0.016
2025-01-16,1.28,0.613,0.146,0.115,0.042,0.0,0.081,0.283
2025-01-17,2.62,0.812,0.284,0.096,1.044,0.0,0.25,0.135
2025-01-18,1.21,0.094,0.152,0.142,0.219,0.0,0.459,0.145
2025-01-19,1.61,0.39,0.429,0.023,0.517,0.117,0.128,0.006
2025-01-20,1.78,0.732,0.393,0.047,0.082,0.0,0.022,0.504
2025-01-21,0.83,0.344,0.04,0.164,0.096,0.0,0.015,0.17
2025-01-22,4.36,0.952,0.821,0.189,1.188,0.0,1.143,0.066
2025-01-23,3.59,0.134,1.576,0.348,1.285,0.0,0.226,0.02
2025-01-24,1.08,0.092,0.278,0.046,0.467,0.0,0.146,0.051
2025-01-25,0.59,0.136,0.06,0.075,0.029,0.0,0.252,0.038
2025-01-26,3.04,0.87,0.578,0.45,0.043,0.285,0.013,0.8
2025-01-27,0.44,0.097,0.101,0.008,0.012,0.0,0.004,0.219
2025-01-28,1.29,0.388,0.028,0.11,0.213,0.0,0.547,0.004
2025-01-29,0.26,0.048,0.073,0.027,0.014,0.005,0.058,0.036
2025-01-30,1.72,0.467,0.268,0.465,0.071,0.004,0.389,0.057
2025-01-31,1.09,0.044,0.199,0.076,0.446,0.0,0.314,0.011
2025-02-01,2.66,0.451,0.237,0.217,0.348,0.016,0.593,0.797
2025-02-02,0.72,0.139,0.022,0.006,0.146,0.02,0.023,0.364
2025-02-03,1.74,0.554,0.29,0.333,0.415,0.007,0.074,0.068
2025-02-04,7.81,5.386,0.036,0.793,0.413,0.0,0.415,0.768
2025-02-05,0.94,0.29,0.163,0.031,0.059,0.112,0.116,0.17
2025-02-06,2.65,0.202,1.485,0.412,0.106,0.163,0.091,0.19
2025-02-07,2.49,0.443,0.289,0.125,1.051,0.0,0.515,0.067
2025-02-08,3.38,0.975,0.77,1.119,0.077,0.0,0.19,0.249
2025-02-09,1.32,0.209,0.199,0.286,0.254,0.093,0.246,0.031
2025-02-10,10.04,0.502,0.301,0.201,0.201,8.534,0.201,0.1
2025-02-11,17.32,0.866,0.52,0.346,0.346,14.722,0.346,0.173
2025-02-12,7.78,2.404,2.971,1.261,0.37,0.607,0.117,0.049
2025-02-13,0.26,0.065,0.006,0.084,0.058,0.0,0.016,0.032
2025-02-14,0.72,0.054,0.076,0.251,0.151,0.0,0.093,0.095
2025-02-15,0.19,0.055,0.042,0.018,0.004,0.0,0.01,0.062
2025-02-16,0.17,0.059,0.024,0.001,0.003,0.0,0.075,0.008
