Month,Iron_Ore_Price_INR_per_Tonne,Coal_Coke_Price_INR_per_Tonne,Limestone_Price_INR_per_Tonne,Ferro_Alloys_Price_INR_per_Tonne,Labour_Cost_Index
2025-01,6691.93,15454.53,1458.89,98530.83,100.28
2025-02,7011.89,15223.99,1416.85,100172.6,101.16
2025-03,7224.07,15167.15,1395.79,99542.28,101.57
2025-04,7055.63,15126.92,1416.77,99464.7,102.06
2025-05,6853.9,14954.61,1383.53,100914.09,102.21
2025-06,6892.1,15127.93,1409.16,100602.75,102.51
2025-07,6980.26,15099.57,1395.42,97759.16,102.54
2025-08,6942.54,15012.06,1420.12,99907.14,102.94
2025-09,7003.29,15098.13,1489.05,101122.75,103.33
2025-10,7000.99,15290.78,1443.22,100219.37,103.53
2025-11,6877.74,15711.8,1491.37,102658.7,103.93
2025-12,6774.98,15571.47,1425.33,98399.83,104.32
