Date,Shift_A_Production_Tonnes,Shift_B_Production_Tonnes,Shift_C_Production_Tonnes,Shift_A_Downtime_Hours,Shift_B_Downtime_Hours,Shift_C_Downtime_Hours
2025-01-01,553.85,618.8,857.86,2.37,0.81,0.53
2025-01-02,502.58,1382.22,406.81,0.0,0.08,0.07
2025-01-03,829.72,474.02,939.89,0.11,0.03,0.08
2025-01-04,451.67,619.77,1150.06,0.03,0.05,0.63
2025-01-05,633.4,770.21,618.36,1.1,0.56,1.64
2025-01-06,988.5,395.29,748.32,0.57,0.79,0.13
2025-01-07,589.89,567.81,965.83,0.99,0.08,0.3
2025-01-08,279.0,577.95,818.83,4.78,0.47,1.32
2025-01-09,823.7,822.52,529.4,0.12,0.01,0.43
2025-01-10,379.68,858.12,944.74,0.75,0.17,0.36
2025-01-11,733.19,573.49,829.97,0.68,0.38,0.6
2025-01-12,1143.78,737.12,292.13,0.36,0.51,0.61
2025-01-13,359.67,1127.68,814.81,0.08,0.04,0.0
2025-01-14,494.01,779.12,1014.82,0.09,0.04,0.21
2025-01-15,1142.19,411.79,767.45,0.02,0.03,0.01
2025-01-16,815.38,627.92,686.06,0.27,0.46,0.55
2025-01-17,1055.14,633.63,457.03,0.35,0.54,1.72
2025-01-18,654.66,434.59,1156.7,0.21,0.75,0.25
2025-01-19,481.72,672.71,1029.81,0.03,0.05,1.53
2025-01-20,538.71,1195.02,390.65,0.85,0.46,0.47
2025-01-21,1154.76,627.41,507.3,0.29,0.21,0.33
2025-01-22,519.22,642.06,750.36,2.09,0.26,2.01
2025-01-23,276.81,1110.68,585.11,1.34,0.53,1.72
2025-01-24,636.61,953.09,626.59,0.07,0.94,0.07
2025-01-25,606.82,653.98,984.05,0.14,0.25,0.21
2025-01-26,661.54,672.6,687.03,2.22,0.3,0.53
2025-01-27,1114.83,864.36,354.57,0.07,0.05,0.32
2025-01-28,579.14,1166.65,331.21,0.51,0.42,0.36
2025-01-29,938.03,657.48,717.3,0.01,0.14,0.11
2025-01-30,896.72,521.29,786.01,0.36,0.83,0.54
2025-01-31,1129.29,834.06,277.46,0.36,0.39,0.33
2025-02-01,375.36,867.86,873.08,0.65,0.46,1.54
2025-02-02,1337.54,422.06,496.38,0.25,0.12,0.35
2025-02-03,780.01,616.29,771.52,0.22,1.16,0.36
2025-02-04,878.23,345.47,301.64,3.04,1.05,3.72
2025-02-05,605.63,829.82,835.81,0.25,0.4,0.28
2025-02-06,428.88,960.69,622.93,0.27,1.27,1.12
2025-02-07,1014.12,540.99,557.92,0.13,1.87,0.49
2025-02-08,829.44,381.91,849.7,0.7,2.34,0.33
2025-02-09,620.31,1360.81,254.55,0.1,0.97,0.25
2025-02-10,334.09,491.73,499.53,5.62,0.9,3.52
2025-02-11,290.98,192.51,155.04,6.38,4.02,6.92
2025-02-12,782.37,521.44,286.51,0.74,1.32,5.72
2025-02-13,623.23,723.99,1035.36,0.2,0.01,0.05
2025-02-14,834.38,837.32,654.48,0.03,0.13,0.56
2025-02-15,1023.57,506.74,879.51,0.1,0.04,0.05
2025-02-16,1471.43,546.63,311.44,0.07,0.1,0.0
2025-02-17,1060.07,290.5,641.22,0.38,1.55,2.13
2025-02-18,748.16,790.18,796.55,0.06,0.11,0.15
2025-02-19,1082.47,926.55,387.61,0.06,0.28,0.18
2025-02-20,172.91,1388.11,656.78,0.7,0.51,0.58
2025-02-21,900.23,533.52,642.54,0.78,1.25,0.4
2025-02-22,368.17,390.28,557.27,1.64,7.88,1.08
2025-02-23,1116.72,609.07,507.78,0.06,0.15,0.56
2025-02-24,356.84,652.67,1240.55,0.31,0.18,0.11
2025-02-25,396.29,819.65,1102.76,0.04,0.0,0.35
2025-02-26,943.18,712.8,690.63,0.09,0.08,0.2
2025-02-27,875.14,402.12,692.29,1.4,0.63,1.7
2025-02-28,418.23,724.95,1199.32,0.08,0.06,0.03
2025-03-01,517.78,337.67,327.48,1.69,3.71,6.31
2025-03-02,741.93,959.39,642.13,0.02,0.23,0.31
2025-03-03,662.45,678.63,762.39,1.17,1.15,0.47
2025-03-04,254.0,1578.12,558.18,0.11,0.01,0.03
2025-03-05,935.86,390.74,1003.42,0.03,0.0,0.21
2025-03-06,935.48,795.57,416.71,0.09,1.54,0.78
2025-03-07,648.05,962.29,619.88,0.0,0.23,1.06
2025-03-08,1067.03,268.4,500.59,1.24,3.02,1.58
2025-03-09,1299.13,512.99,502.28,0.16,0.12,0.99
2025-03-10,1543.98,390.57,308.32,0.23,0.25,0.97
